disease_id,location_id,eventdate,reportdate,count,eventtype,eventtype2,agemin,agemax,gender,socialstruct,synthetic,source
6,NA,NA,2017-09-24,148,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,76,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,89,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,2682,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,152,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,76,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,1005,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,952,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,1065,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-24,2513,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,536,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,669,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,133,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,1767,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,122,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,505,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,139,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,180,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,908,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,278,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,499,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,626,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,1629,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-17,875,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,545,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,138,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,67,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,0,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,11,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
6,NA,NA,2017-09-10,282,incidence,NA,NA,NA,NA,NA,0,French sentinelles network - www.sentiweb.fr
