disease_id,location_id,eventdate,reportdate,count,eventtype2,agemin,agemax,gender,socialstruct,synthetic,source
5,47,NA,1949-06-25,613,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-07-02,714,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-07-09,523,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-07-16,490,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-07-23,379,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-07-30,303,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-08-06,273,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-08-13,223,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-08-20,158,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-08-27,120,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-09-03,92,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-09-10,66,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-09-17,42,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-09-24,50,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-10-01,40,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-10-08,28,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-10-15,44,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-10-22,40,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-10-29,63,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-11-05,33,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-11-12,48,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-11-19,23,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-11-26,28,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-12-03,31,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-12-10,26,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-12-17,34,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-12-24,32,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1949-12-31,47,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-01-07,43,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-01-14,54,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-01-21,36,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-01-28,24,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-02-04,42,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-02-11,38,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-02-18,71,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-02-25,45,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-03-04,75,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-03-11,60,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-03-18,54,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-03-25,98,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-04-01,118,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-04-08,91,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-04-15,171,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-04-22,174,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-04-29,203,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-05-06,141,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-05-13,262,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-05-20,366,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-05-27,463,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-06-03,478,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-06-10,613,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-06-17,529,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-06-24,645,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-07-01,626,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-07-08,649,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-07-15,647,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-07-22,601,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-07-29,580,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-08-05,664,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-08-12,474,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-08-19,362,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-08-26,316,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-09-02,199,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1950-09-09,162,NA,NA,NA,NA,NA,0,Bolker webpage
