99999,99999,"2016-09-18","2016-09-18",0,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-18","2016-09-18",1,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-19","2016-09-19",2,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-19","2016-09-19",0,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-20","2016-09-20",1,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-20","2016-09-20",1,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-21","2016-09-21",0,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-21","2016-09-21",1,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-22","2016-09-22",0,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-22","2016-09-22",0,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-23","2016-09-23",3,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-23","2016-09-23",0,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-24","2016-09-24",1,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-24","2016-09-24",2,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-25","2016-09-25",2,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-25","2016-09-25",0,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-26","2016-09-26",4,"incidence","","","","","",2,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
99999,99999,"2016-09-26","2016-09-26",1,"incidence","","","","","",3,"SEmInR_1;DOL.days_2;DOI.days_2;R0_1.5;nE_5;nI_5;I0_2;pop.size_100000"
