"","date","city","count"
"210",1952-01-12,"London",33
"211",1952-01-19,"London",44
"212",1952-01-26,"London",41
"213",1952-02-02,"London",50
"214",1952-02-09,"London",65
"215",1952-02-16,"London",103
"216",1952-02-23,"London",123
"217",1952-03-01,"London",153
"218",1952-03-08,"London",218
"219",1952-03-15,"London",256
"220",1952-03-22,"London",201
"221",1952-03-29,"London",270
"222",1952-04-05,"London",231
"223",1952-04-12,"London",210
"224",1952-04-19,"London",294
"225",1952-04-26,"London",275
"226",1952-05-03,"London",222
"227",1952-05-10,"London",240
"228",1952-05-17,"London",320
"229",1952-05-24,"London",330
"230",1952-05-31,"London",519
"231",1952-06-07,"London",553
"232",1952-06-14,"London",745
"233",1952-06-21,"London",639
"234",1952-06-28,"London",714
"235",1952-07-05,"London",605
"236",1952-07-12,"London",791
"237",1952-07-19,"London",730
"238",1952-07-26,"London",844
"239",1952-08-02,"London",944
"240",1952-08-09,"London",926
"241",1952-08-16,"London",751
"242",1952-08-23,"London",573
"243",1952-08-30,"London",412
"244",1952-09-06,"London",280
"245",1952-09-13,"London",240
"246",1952-09-20,"London",272
"247",1952-09-27,"London",354
"248",1952-10-04,"London",554
"249",1952-10-11,"London",682
"250",1952-10-18,"London",964
"251",1952-10-25,"London",1094
"252",1952-11-01,"London",1252
"253",1952-11-08,"London",989
"254",1952-11-15,"London",1208
"255",1952-11-22,"London",1129
"256",1952-11-29,"London",1560
"257",1952-12-06,"London",1488
"258",1952-12-13,"London",1404
"259",1952-12-20,"London",1797
"260",1952-12-27,"London",996
"261",1953-01-03,"London",2705
"262",1953-01-10,"London",1905
"263",1953-01-17,"London",1777
"264",1953-01-24,"London",1421
"265",1953-01-31,"London",1470
"266",1953-02-07,"London",1661
"267",1953-02-14,"London",1507
"268",1953-02-21,"London",1832
"269",1953-02-28,"London",1624
"270",1953-03-07,"London",1621
"271",1953-03-14,"London",1371
"272",1953-03-21,"London",1439
"273",1953-03-28,"London",1133
"274",1953-04-04,"London",953
"275",1953-04-11,"London",1032
"276",1953-04-18,"London",835
"277",1953-04-25,"London",629
"278",1953-05-02,"London",419
"279",1953-05-09,"London",369
"280",1953-05-16,"London",305
"281",1953-05-23,"London",345
"282",1953-05-30,"London",269
"283",1953-06-06,"London",297
"284",1953-06-13,"London",207
"285",1953-06-20,"London",291
"286",1953-06-27,"London",173
"287",1953-07-04,"London",145
"288",1953-07-11,"London",110
"289",1953-07-18,"London",107
"290",1953-07-25,"London",65
"291",1953-08-01,"London",80
"292",1953-08-08,"London",50
"293",1953-08-15,"London",67
"294",1953-08-22,"London",29
"295",1953-08-29,"London",20
"296",1953-09-05,"London",27
"297",1953-09-12,"London",19
"298",1953-09-19,"London",16
"299",1953-09-26,"London",13
"300",1953-10-03,"London",9
"301",1953-10-10,"London",13
"302",1953-10-17,"London",25
"303",1953-10-24,"London",19
"304",1953-10-31,"London",12
"305",1953-11-07,"London",31
"306",1953-11-14,"London",24
"307",1953-11-21,"London",15
"308",1953-11-28,"London",20
"309",1953-12-05,"London",12
"310",1953-12-12,"London",17
"311",1953-12-19,"London",12
"312",1953-12-26,"London",1
"313",1954-01-02,"London",58
"314",1954-01-09,"London",13
"315",1954-01-16,"London",18
"316",1954-01-23,"London",12
"317",1954-01-30,"London",11
"318",1954-02-06,"London",19
"319",1954-02-13,"London",16
"320",1954-02-20,"London",29
"321",1954-02-27,"London",33
"322",1954-03-06,"London",33
"323",1954-03-13,"London",41
"324",1954-03-20,"London",57
"325",1954-03-27,"London",32
"326",1954-04-03,"London",45
"327",1954-04-10,"London",67
"328",1954-04-17,"London",67
"329",1954-04-24,"London",93
"330",1954-05-01,"London",72
"331",1954-05-08,"London",71
"332",1954-05-15,"London",58
"333",1954-05-22,"London",61
"334",1954-05-29,"London",42
"335",1954-06-05,"London",68
"336",1954-06-12,"London",83
"337",1954-06-19,"London",93
"338",1954-06-26,"London",81
"339",1954-07-03,"London",94
"340",1954-07-10,"London",121
"341",1954-07-17,"London",191
"342",1954-07-24,"London",169
"343",1954-07-31,"London",147
"344",1954-08-07,"London",126
"345",1954-08-14,"London",123
"346",1954-08-21,"London",105
"347",1954-08-28,"London",81
"348",1954-09-04,"London",63
"349",1954-09-11,"London",57
"350",1954-09-18,"London",87
"351",1954-09-25,"London",80
"352",1954-10-02,"London",125
"353",1954-10-09,"London",159
"354",1954-10-16,"London",185
"355",1954-10-23,"London",204
"356",1954-10-30,"London",254
"357",1954-11-06,"London",285
"358",1954-11-13,"London",209
"359",1954-11-20,"London",262
"360",1954-11-27,"London",273
"361",1954-12-04,"London",390
"362",1954-12-11,"London",473
"363",1954-12-18,"London",548
"364",1954-12-25,"London",550
"365",1955-01-01,"London",988
"366",1955-01-08,"London",1004
"367",1955-01-15,"London",791
"368",1955-01-22,"London",656
"369",1955-01-29,"London",1137
"370",1955-02-05,"London",1295
"371",1955-02-12,"London",1945
"372",1955-02-19,"London",2402
"373",1955-02-26,"London",2694
"374",1955-03-05,"London",3412
"375",1955-03-12,"London",2626
"376",1955-03-19,"London",3685
"377",1955-03-26,"London",3337
"378",1955-04-02,"London",4103
"379",1955-04-09,"London",3089
"380",1955-04-16,"London",3291
"381",1955-04-23,"London",2614
"382",1955-04-30,"London",1789
"383",1955-05-07,"London",1236
"384",1955-05-14,"London",1063
"385",1955-05-21,"London",962
"386",1955-05-28,"London",923
"387",1955-06-04,"London",792
"388",1955-06-11,"London",932
"389",1955-06-18,"London",496
"390",1955-06-25,"London",506
"391",1955-07-02,"London",342
"392",1955-07-09,"London",380
"393",1955-07-16,"London",272
"394",1955-07-23,"London",192
"395",1955-07-30,"London",166
"396",1955-08-06,"London",130
"397",1955-08-13,"London",124
"398",1955-08-20,"London",82
"399",1955-08-27,"London",76
"400",1955-09-03,"London",58
"401",1955-09-10,"London",38
"402",1955-09-17,"London",22
"403",1955-09-24,"London",24
"404",1955-10-01,"London",32
"405",1955-10-08,"London",29
"406",1955-10-15,"London",41
"407",1955-10-22,"London",33
"408",1955-10-29,"London",33
"409",1955-11-05,"London",28
"410",1955-11-12,"London",36
"411",1955-11-19,"London",30
"412",1955-11-26,"London",29
"413",1955-12-03,"London",22
"414",1955-12-10,"London",20
"415",1955-12-17,"London",13
"416",1955-12-24,"London",15
"417",1955-12-31,"London",22
"418",1956-01-07,"London",26
"419",1956-01-14,"London",26
"420",1956-01-21,"London",20
"421",1956-01-28,"London",22
"422",1956-02-04,"London",26
"423",1956-02-11,"London",51
"424",1956-02-18,"London",61
"425",1956-02-25,"London",49
"426",1956-03-03,"London",76
"427",1956-03-10,"London",54
"428",1956-03-17,"London",56
"429",1956-03-24,"London",66
"430",1956-03-31,"London",76
"431",1956-04-07,"London",75
"432",1956-04-14,"London",114
"433",1956-04-21,"London",83
"434",1956-04-28,"London",80
"435",1956-05-05,"London",94
"436",1956-05-12,"London",166
"437",1956-05-19,"London",206
"438",1956-05-26,"London",249
"439",1956-06-02,"London",316
"440",1956-06-09,"London",317
"441",1956-06-16,"London",282
"442",1956-06-23,"London",280
"443",1956-06-30,"London",374
"444",1956-07-07,"London",305
"445",1956-07-14,"London",329
"446",1956-07-21,"London",287
"447",1956-07-28,"London",363
"448",1956-08-04,"London",258
"449",1956-08-11,"London",225
"450",1956-08-18,"London",245
"451",1956-08-25,"London",186
"452",1956-09-01,"London",172
"453",1956-09-08,"London",104
"454",1956-09-15,"London",98
"455",1956-09-22,"London",85
"456",1956-09-29,"London",100
"457",1956-10-06,"London",140
"458",1956-10-13,"London",146
"459",1956-10-20,"London",190
"460",1956-10-27,"London",195
"461",1956-11-03,"London",193
"462",1956-11-10,"London",232
"463",1956-11-17,"London",220
"464",1956-11-24,"London",314
"465",1956-12-01,"London",266
"466",1956-12-08,"London",390
"467",1956-12-15,"London",397
"468",1956-12-22,"London",397
"469",1956-12-29,"London",438
"470",1957-01-05,"London",798
"471",1957-01-12,"London",674
"472",1957-01-19,"London",680
"473",1957-01-26,"London",682
"474",1957-02-02,"London",971
"475",1957-02-09,"London",1353
"476",1957-02-16,"London",1508
"477",1957-02-23,"London",1945
"478",1957-03-02,"London",1876
"479",1957-03-09,"London",2225
"480",1957-03-16,"London",1832
"481",1957-03-23,"London",2034
"482",1957-03-30,"London",1724
"483",1957-04-06,"London",2007
"484",1957-04-13,"London",2016
"485",1957-04-20,"London",1767
"486",1957-04-27,"London",1780
"487",1957-05-04,"London",1640
"488",1957-05-11,"London",1169
"489",1957-05-18,"London",869
"490",1957-05-25,"London",1071
"491",1957-06-01,"London",893
"492",1957-06-08,"London",964
"493",1957-06-15,"London",856
"494",1957-06-22,"London",752
"495",1957-06-29,"London",584
"496",1957-07-06,"London",427
"497",1957-07-13,"London",344
"498",1957-07-20,"London",225
"499",1957-07-27,"London",219
"500",1957-08-03,"London",216
"501",1957-08-10,"London",162
"502",1957-08-17,"London",148
"503",1957-08-24,"London",90
"504",1957-08-31,"London",60
"505",1957-09-07,"London",53
"506",1957-09-14,"London",28
"507",1957-09-21,"London",28
"508",1957-09-28,"London",20
"509",1957-10-05,"London",23
"510",1957-10-12,"London",24
